recordingSha256,kind,legacyGroup,group,detail,site,caller,truncated,count,value
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.TreeMap$Entry","java.util.TreeMap.addEntryToEmptyMap:777","none","false","15","353960"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.TreeMap$KeyIterator","java.util.TreeMap.keyIterator:1385","none","false","58","1428560"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.TreeMap$KeySet","java.util.TreeMap.navigableKeySet:1102","none","false","4","101600"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.concurrent.CopyOnWriteArrayList$COWIterator","java.util.concurrent.CopyOnWriteArrayList.iterator:1024","none","false","6","1800"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.concurrent.LinkedBlockingQueue$Itr","java.util.concurrent.LinkedBlockingQueue.iterator:759","none","false","5","69896"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await:1610","none","false","18","1597314496"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","java.util.concurrent.locks.ReentrantLock$Sync.newCondition:190","none","false","2","83616272"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode","java.util.concurrent.locks.AbstractQueuedSynchronizer.tryInitializeHead:567","none","false","1","28613000"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.stream.ReferencePipeline$Head","java.util.stream.StreamSupport.stream:69","none","false","3","12475304"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","java.util.zip.ZipFile$ZipFileInputStream","java.util.zip.ZipFile.getInputStream:369","none","false","1","795504"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","javax.management.Notification","com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification:101","none","false","35","1177696"
