"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","ordered","1024","-5","mergeRank","62","0.003676501","3510232","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-5","scoresAndScatter","62","0.0018668","2485992","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-5","radixSort","62","8.53299E-4","574408","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-4","scoresAndScatter","62","0.001882499","2485992","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-4","mergeRank","62","0.0031469","3510232","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-4","radixRank","62","0.002779901","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-4","summary","62","0.017438701","64415144","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","-4","mergeSort","62","5.438E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-4","radixSort","62","8.842E-4","574408","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-3","scoresAndScatter","62","0.001919599","2485992","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-3","radixSort","62","8.482E-4","574408","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-3","mergeSort","62","5.40901E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-3","summary","62","0.017162799","64415064","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","-3","radixRank","62","0.0028134","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-3","mergeRank","62","0.0031842","3510232","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-2","radixRank","62","0.0028474","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-2","summary","62","0.017353","64415064","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","-2","mergeSort","62","5.113E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-2","radixSort","62","8.579E-4","574408","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-2","scoresAndScatter","62","0.0019235","2485992","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-2","mergeRank","62","0.0032072","3510232","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-1","radixRank","62","0.0028097","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-1","mergeRank","62","0.0031746","3510232","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-1","scoresAndScatter","62","0.0019353","2485992","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","-1","radixSort","62","8.439E-4","574408","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
