jvm,seed,model,method,draws,nanos,covered,precision,error
2,13,0,0,31200,3043600,true,true,0.019997314923989207
2,13,1,1,500,545700,true,true,0.01772511166069866
2,13,1,0,31200,2509300,true,true,0.019997314923989155
2,13,2,1,500,1295100,true,true,0.016649079798015887
2,13,2,0,31200,7440900,true,true,0.019997314923989207
2,13,3,1,500,2258900,true,true,0.016635935524640044
2,13,3,0,31200,71317700,true,true,0.019997314923989207
2,14,0,0,31200,3069700,true,true,0.019997314923989262
2,14,0,1,21900,53134500,true,true,0.019988312652659435
2,14,1,0,31200,2624200,true,true,0.019997314923989155
2,14,1,1,500,576000,true,true,0.01695286080233314
2,14,2,0,31200,7046900,true,true,0.019997314923989262
2,14,2,1,500,1277300,true,true,0.016648032931536216
2,14,3,0,31200,71391400,true,true,0.019997314923989207
2,14,3,1,500,2248000,true,true,0.01663591939829523
2,15,0,1,21900,53587000,true,true,0.019986984483568893
2,15,0,0,31200,3067200,true,true,0.019997314923989262
2,15,1,1,500,1018000,true,true,0.017723932555921623
2,15,1,0,31200,2625500,true,true,0.019997314923989155
2,15,2,1,500,1443800,true,true,0.016649254108689504
2,15,2,0,31200,14277400,true,true,0.019997314923989207
2,15,3,1,500,2672500,true,true,0.016635928871943706
2,15,3,0,31200,71494800,true,true,0.019997314923989207
2,16,0,0,31200,3451700,true,true,0.019997314923989262
2,16,0,1,22100,51603200,true,true,0.019989572989013216
2,16,1,0,31200,2503800,true,true,0.019997314923989155
2,16,1,1,500,590500,true,true,0.017725322338889207
2,16,2,0,31200,7466200,true,true,0.019997314923989207
2,16,2,1,500,1301700,true,true,0.0166485158331402
2,16,3,0,31200,71726000,true,true,0.019997314923989207
2,16,3,1,500,2287500,true,true,0.01663593395089613
2,17,0,1,21900,51182100,true,true,0.01997269701510962
2,17,0,0,31200,3516100,true,true,0.019997314923989207
2,17,1,1,500,624300,true,true,0.01695286080233314
2,17,1,0,31200,2520300,true,true,0.019997314923989158
2,17,2,1,500,1292300,true,true,0.016647831527041412
2,17,2,0,31200,7143700,true,true,0.019997314923989207
2,17,3,1,500,2740100,true,true,0.016635919383919173
2,17,3,0,31200,71772400,true,true,0.019997314923989207
2,18,0,0,31200,3138700,true,true,0.019997314923989207
2,18,0,1,21800,60413100,true,true,0.019966001208691075
2,18,1,0,31200,2930400,true,true,0.019997314923989158
2,18,1,1,500,637600,true,true,0.017724703421527165
2,18,2,0,31200,7013600,true,true,0.019997314923989207
2,18,2,1,500,1312200,true,true,0.016648128931127992
2,18,3,0,31200,73802600,true,true,0.019997314923989207
2,18,3,1,500,2339600,true,true,0.016635914613054525
2,19,0,1,21600,51063800,true,true,0.019973071366707895
2,19,0,0,31200,2967000,true,true,0.019997314923989262
2,19,1,1,500,577100,true,true,0.01695286080233314
2,19,1,0,31200,2453100,true,true,0.019997314923989155
2,19,2,1,500,1586100,true,true,0.016647858403821603
2,19,2,0,31200,10567900,true,true,0.019997314923989207
2,19,3,1,500,2839400,true,true,0.016635916027498865
2,19,3,0,31200,72038300,true,true,0.019997314923989262
