case,method,seed,draws,mean,reference,ess,mcse,seconds
rare-event,joint,461632459,4000,3.330065213370357E-5,3.167124183311997E-5,429.1290202549062,2.0593315464912742E-6,0.006191
hierarchical,prior,477118322,4000,0.9884026635684119,0.9803921568627451,350.1450167844213,0.006326686808670619,0.0078644
hierarchical,root,477118322,4000,0.9843626778873049,0.9803921568627451,1987.4937384287214,0.003415425377642499,0.009248300000000001
hierarchical,joint,477118322,4000,0.9831512045381776,0.9803921568627451,3141.4862691233857,0.002042692171604395,0.030435100000000003
nonlinear,prior,477118322,4000,0.49887878154941734,0.5,366.43350565163354,0.02611994435237212,0.007930000000000001
nonlinear,root,477118322,4000,0.4853906567067101,0.5,1672.0151021591844,0.012219538253677019,0.0100587
nonlinear,joint,477118322,4000,0.5061494913694088,0.5,2458.924137433075,0.010081860420560883,0.029008700000000002
rare-event,prior,477118322,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0030156000000000002
rare-event,root,477118322,4000,3.025978185775548E-5,3.167124183311997E-5,842.8690804250924,3.942181322984084E-6,0.004976400000000001
rare-event,joint,477118322,4000,3.129145733614076E-5,3.167124183311997E-5,440.89399219213664,1.9428191742729303E-6,0.0054628
hierarchical,prior,492604185,4000,0.9861095410846438,0.9803921568627451,331.63530186799125,0.007045550329783916,0.0074466
hierarchical,root,492604185,4000,0.9807314926020995,0.9803921568627451,2018.9090786151057,0.003493935725696868,0.008886100000000001
hierarchical,joint,492604185,4000,0.9793622341361733,0.9803921568627451,3143.063884216266,0.0020158291321738836,0.0282254
nonlinear,prior,492604185,4000,0.481860811282685,0.5,356.3549970312986,0.026497522464015055,0.0100338
nonlinear,root,492604185,4000,0.4862225836500153,0.5,1704.8621255286582,0.01210488648762552,0.010890500000000001
nonlinear,joint,492604185,4000,0.501544410057934,0.5,2469.006680578111,0.010062822034733477,0.029393400000000004
rare-event,prior,492604185,4000,2.5E-4,3.167124183311997E-5,3999.9999999997935,2.499687480466273E-4,0.0030596
rare-event,root,492604185,4000,2.389694331856645E-5,3.167124183311997E-5,856.2106253525097,3.352978136203546E-6,0.004821000000000001
rare-event,joint,492604185,4000,3.2782528907929015E-5,3.167124183311997E-5,441.07540621906526,2.0116726301530383E-6,0.004975800000000001
hierarchical,prior,508090048,4000,0.9862184674430761,0.9803921568627451,342.64870277053524,0.006415550628262199,0.0075069
hierarchical,root,508090048,4000,0.9748438753378428,0.9803921568627451,2017.8314834055898,0.003416416638235253,0.0087918
hierarchical,joint,508090048,4000,0.9773762848817072,0.9803921568627451,3157.7070678477457,0.002032639609333515,0.028288800000000003
nonlinear,prior,508090048,4000,0.5297350934849184,0.5,337.59582808170603,0.027166538089128722,0.0079586
nonlinear,root,508090048,4000,0.5148131168751476,0.5,1705.6789970961077,0.012101367271001164,0.0107493
nonlinear,joint,508090048,4000,0.5088480439776538,0.5,2471.4672668427124,0.010054873423277596,0.028961200000000003
rare-event,prior,508090048,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.003001
rare-event,root,508090048,4000,3.199919495032468E-5,3.167124183311997E-5,858.0632999542024,4.013524656169659E-6,0.004867300000000001
rare-event,joint,508090048,4000,2.9985347263483982E-5,3.167124183311997E-5,437.1656511892367,1.87356812085428E-6,0.0051474
hierarchical,prior,523575911,4000,0.9723650288055241,0.9803921568627451,332.1438816799061,0.006751584974660332,0.0073306000000000005
hierarchical,root,523575911,4000,0.9818866472555159,0.9803921568627451,1992.3275405486822,0.0037195555786203142,0.0090778
hierarchical,joint,523575911,4000,0.9781059648693068,0.9803921568627451,3177.4877979287085,0.0019901426232718303,0.0278289
nonlinear,prior,523575911,4000,0.5091346151019233,0.5,335.92494255398157,0.027269828648390726,0.0080096
nonlinear,root,523575911,4000,0.5142251909935888,0.5,1623.5225855347921,0.01240032890256233,0.010180600000000001
nonlinear,joint,523575911,4000,0.5098961231708252,0.5,2429.2814263516075,0.0101406713824294,0.029458
rare-event,prior,523575911,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.003068
rare-event,root,523575911,4000,3.1501670835772025E-5,3.167124183311997E-5,852.9972247582019,3.973724679060907E-6,0.0051225
rare-event,joint,523575911,4000,3.2668752362239484E-5,3.167124183311997E-5,427.6396236184867,2.031161363008167E-6,0.0046706000000000004
hierarchical,prior,539061774,4000,0.9769188896011022,0.9803921568627451,325.3357177007086,0.0070579548711182,0.0075021
hierarchical,root,539061774,4000,0.9758606343248598,0.9803921568627451,2038.6651618918606,0.003304051660834468,0.008514500000000001
hierarchical,joint,539061774,4000,0.9807080919098814,0.9803921568627451,3153.1120311677128,0.0020343780911842384,0.027175500000000002
nonlinear,prior,539061774,4000,0.48887809378744906,0.5,333.2901023758237,0.027384628737723352,0.0079032
nonlinear,root,539061774,4000,0.4864178041378275,0.5,1701.5377362877337,0.012116599233307932,0.0100946
nonlinear,joint,539061774,4000,0.5103170553000731,0.5,2458.8904829706034,0.010081743895727326,0.029284900000000003
rare-event,prior,539061774,4000,2.5E-4,3.167124183311997E-5,3999.9999999997935,2.499687480466145E-4,0.0032805
rare-event,root,539061774,4000,2.98166678534625E-5,3.167124183311997E-5,847.9817811761461,3.896908963505535E-6,0.004803
rare-event,joint,539061774,4000,3.1741807952933025E-5,3.167124183311997E-5,433.9604449321192,1.967670758990859E-6,0.0050769000000000005
hierarchical,prior,554547637,4000,0.9801596457686104,0.9803921568627451,311.8502176386841,0.006424048858044283,0.0076075000000000005
