jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,hierarchical,prior,8000,255287948,Completed,0.9891852983171868,701.2766907444486,NaN,8000,0,72000,0.0,0.0,0.0157393,0.9803921568627451
1,hierarchical,single,8000,255287948,Fitted,0.9792438424747671,3884.442361808389,1.2222095252907952,8000,3000,80000,0.0051625,1.348E-4,0.023779,0.9803921568627451
1,hierarchical,mixture,8000,255287948,Fitted,0.9803730720698767,3763.9590569313195,1.1797365702140874,8000,3000,64000,0.0049817,0.058130100000000004,0.0830722,0.9803921568627451
1,hierarchical,mh,8000,255287948,Completed,1.008676232257361,NaN,1.0285090103842105,8000,1000,0,0.0,0.0,0.014475000000000002,0.9803921568627451
1,mixture,legacy,2000,255287948,Completed,0.6186009112838291,NaN,NaN,2000,0,0,0.0,0.0,0.0017459,0.631578947368421
1,mixture,prior,2000,255287948,Completed,0.6186009112838331,1306.4627874237608,NaN,2000,0,12000,0.0,0.0,0.0033688000000000004,0.631578947368421
1,mixture,single,2000,255287948,Fitted,0.6288233746928019,339.58824448177876,1.0053020497873402,2000,3000,14000,0.0051361,1.5930000000000002E-4,0.0096453,0.631578947368421
1,mixture,mixture,2000,255287948,Fitted,0.6270572536456478,1906.8934668512024,1.0023480496468087,2000,3000,12000,0.0053876,0.0035625,0.013788400000000001,0.631578947368421
1,mixture,mh,2000,255287948,Completed,0.6425000000000001,NaN,1.0124054580835946,2000,1000,0,0.0,0.0,0.0046994,0.631578947368421
1,mixture,legacy,8000,255287948,Completed,0.6217478318879456,NaN,NaN,8000,0,0,0.0,0.0,0.0068387000000000005,0.631578947368421
1,mixture,prior,8000,255287948,Completed,0.6217478318879458,5231.667054715596,NaN,8000,0,48000,0.0,0.0,0.013787700000000002,0.631578947368421
1,mixture,single,8000,255287948,Fitted,0.6398123480131657,1374.7051914361225,1.0053020497873402,8000,3000,56000,0.0053647,1.427E-4,0.0226849,0.631578947368421
1,mixture,mixture,8000,255287948,Fitted,0.6306532972738782,7605.091319625631,1.0023480496468087,8000,3000,48000,0.0051738,0.0035732000000000003,0.027111000000000003,0.631578947368421
1,mixture,mh,8000,255287948,Completed,0.6308750000000001,NaN,1.0018782575393896,8000,1000,0,0.0,0.0,0.015332,0.631578947368421
1,concentrated,prior,2000,270773811,Completed,2.9369918638802,3.6628053053414216,NaN,2000,0,10000,0.0,0.0,0.0035320000000000004,2.9702970297029703
1,concentrated,single,2000,270773811,Fitted,2.9655136140206446,1175.078767583636,3.8433546414910946,2000,3000,10000,0.0048104,1.6370000000000002E-4,0.008937500000000001,2.9702970297029703
1,concentrated,mixture,2000,270773811,Fitted,2.970305140076171,939.5355905580807,1.5675663176225332,2000,3000,10000,0.0051489000000000005,0.0175076,0.0274439,2.9702970297029703
1,concentrated,mh,2000,270773811,Completed,2.9848199217583677,NaN,2.253095104254438,2000,1000,0,0.0,0.0,0.0047961,2.9702970297029703
1,concentrated,legacy,2000,270773811,Completed,2.9369918638801993,NaN,NaN,2000,0,0,0.0,0.0,0.0027688,2.9702970297029703
1,concentrated,prior,8000,270773811,Completed,2.939813987266018,15.85401683630612,NaN,8000,0,40000,0.0,0.0,0.012682200000000001,2.9702970297029703
1,concentrated,single,8000,270773811,Fitted,2.96796406691242,4695.75935517956,3.8433546414910946,8000,3000,48000,0.0054189,1.6230000000000001E-4,0.0215358,2.9702970297029703
1,concentrated,mixture,8000,270773811,Fitted,2.9673571124551024,3681.9684178527764,1.5675663176225332,8000,3000,48000,0.0056311,0.016679,0.0399109,2.9702970297029703
1,concentrated,mh,8000,270773811,Completed,3.0201086583792636,NaN,1.6148371675709734,8000,1000,0,0.0,0.0,0.0154062,2.9702970297029703
1,concentrated,legacy,8000,270773811,Completed,2.9398139872660245,NaN,NaN,8000,0,0,0.0,0.0,0.0104198,2.9702970297029703
